velocity,Distance,Speed,SR,SplitD
3.89,5.669583333,3.709932033,,0.05402777778
3.95,5.724444444,3.727779275,,0.05486111111
3.96,5.779444444,3.748771983,,0.055
3.95,5.834305556,3.771994278,,0.05486111111
3.98,5.889583333,3.796224684,,0.05527777778
4.01,5.945277778,3.821056601,,0.05569444444
4.03,6.00125,3.846436125,,0.05597222222
4.05,6.0575,3.872121255,,0.05625
4.06,6.113888889,3.897737867,,0.05638888889
4.06,6.170277778,3.92273559,,0.05638888889
4.03,6.22625,3.946179445,,0.05597222222
3.98,6.281527778,3.966607715,,0.05527777778
3.92,6.335972222,3.982308045,,0.05444444444
3.88,6.389861111,3.991987684,,0.05388888889
3.89,6.443888889,3.995623798,,0.05402777778
3.91,6.498194444,3.99460007,,0.05430555556
3.91,6.5525,3.990576772,,0.05430555556
3.89,6.606527778,3.984452471,,0.05402777778
3.86,6.660138889,3.976340712,,0.05361111111
3.81,6.713055556,3.965853643,,0.05291666667
3.72,6.764722222,3.951969301,,0.05166666667
3.65,6.815416667,3.933318656,,0.05069444444
3.66,6.86625,3.909776141,,0.05083333333
3.69,6.9175,3.883242622,,0.05125
3.72,6.969166667,3.856341186,,0.05166666667
3.75,7.02125,3.831232085,,0.05208333333
3.75,7.073333333,3.809196029,,0.05208333333
3.77,7.125694444,3.790717385,,0.05236111111
3.81,7.178611111,3.776302319,,0.05291666667
3.87,7.232361111,3.766909218,,0.05375
3.91,7.286666667,3.763437005,41.71428571,0.05430555556
3.94,7.341388889,3.76607138,,0.05472222222
3.95,7.39625,3.774184387,,0.05486111111
3.95,7.451111111,3.786561318,,0.05486111111
3.97,7.50625,3.801955457,,0.05513888889
4.01,7.561944444,3.819777422,,0.05569444444
4.06,7.618333333,3.840133428,,0.05638888889
4.09,7.675138889,3.86319267,,0.05680555556
4.05,7.731388889,3.888075085,,0.05625
3.98,7.786666667,3.912328791,,0.05527777778
3.93,7.84125,3.933140301,,0.05458333333
3.89,7.895277778,3.948708617,,0.05402777778
3.93,7.949861111,3.958965313,,0.05458333333
3.96,8.004861111,3.965505889,,0.055
3.93,8.059444444,3.969660718,,0.05458333333
3.9,8.113611111,3.971332044,,0.05416666667
3.91,8.167916667,3.970355175,,0.05430555556
3.93,8.2225,3.967520689,,0.05458333333
3.94,8.277222222,3.963942672,,0.05472222222
3.95,8.332083333,3.96039194,,0.05486111111
3.92,8.386527778,3.956990693,,0.05444444444
3.9,8.440694444,3.953189046,,0.05416666667
3.92,8.495138889,3.948771302,,0.05444444444
3.95,8.55,3.944506833,,0.05486111111
3.98,8.605277778,3.941511613,,0.05527777778
4.01,8.660972222,3.940666436,41.71428571,0.05569444444
4.03,8.716944444,3.942462183,,0.05597222222
4.06,8.773333333,3.947079772,,0.05638888889
4.09,8.830138889,3.954643049,,0.05680555556
4.12,8.887361111,3.965228599,,0.05722222222
4.08,8.944027778,3.978147954,,0.05666666667
4.04,9.000138889,3.991528505,,0.05611111111
4.04,9.05625,4.003677992,,0.05611111111
4.06,9.112638889,4.014281925,,0.05638888889
4.12,9.169861111,4.024251156,,0.05722222222
4.16,9.227638889,4.035018005,,0.05777777778
4.14,9.285138889,4.047081405,,0.0575
4.11,9.342222222,4.059405164,,0.05708333333
4.13,9.399583333,4.07093095,,0.05736111111
4.15,9.457222222,4.081712599,,0.05763888889
4.1,9.514166667,4.091635776,,0.05694444444
4.05,9.570416667,4.099374012,,0.05625
4.04,9.626527778,4.103740379,,0.05611111111
4.03,9.6825,4.104695058,,0.05597222222
3.95,9.737361111,4.102059634,,0.05486111111
3.87,9.791111111,4.094558911,,0.05375
3.86,9.844722222,4.081414357,,0.05361111111
3.88,9.898611111,4.063792404,,0.05388888889
3.91,9.952916667,4.044001651,,0.05430555556
3.93,10.0075,4.024213907,,0.05458333333
3.91,10.06180556,4.005601854,,0.05430555556
3.9,10.11597222,3.988274451,,0.05416666667
3.97,10.17111111,3.972811787,,0.05513888889
4.04,10.22722222,3.961125265,,0.05611111111
